SIGNGU_NM,LEGALDONG_NM,sum
송파구,가락동,1
구로구,개봉동,2
강남구,개포동,4
강동구,고덕동,4
구로구,고척동,6
강서구,공항동,2
구로구,구로동,4
광진구,구의동,2
성동구,금호동3가,2
강서구,내발산동,2
광진구,능동,2
동대문구,답십리동,2
영등포구,당산동3가,1
동작구,대방동,2
도봉구,도봉동,2
금천구,독산동,4
강동구,둔촌동,2
강서구,마곡동,2
중구,만리동2가,1
마포구,망원동,6
중랑구,면목동,1
양천구,목동,4
송파구,문정동,2
서초구,반포동,2
송파구,방이동,1
강북구,번동,4
동작구,본동,2
관악구,봉천동,2
성동구,사근동,2
동작구,사당동,2
성북구,삼선동1가,2
노원구,상계동,6
마포구,상암동,6
강동구,성내동,2
마포구,성산동,2
영등포구,신길동,1
동작구,신대방동,6
관악구,신림동,2
양천구,신월동,2
마포구,신정동,4
강동구,암사동,2
강남구,압구정동,2
서초구,양재동,2
영등포구,양평동4가,1
영등포구,양화동,1
영등포구,여의도동,3
영등포구,영등포동,1
송파구,오금동,3
강북구,우이동,2
노원구,월계동,2
성동구,응봉동,2
강남구,일원동,2
송파구,잠실동,2
동대문구,장안동,4
노원구,중계동,2
광진구,중곡동,2
도봉구,창동,4
마포구,창전동,2
강동구,천호동,2
노원구,하계동,2
구로구,항동,2
강서구,화곡동,2
광진구,화양동,2
용산구,효창동,1
