행정구,행정동,sum
강서구,가양2동,1
종로구,가회동,1
용산구,남영동,1
강남구,논현동,6
성동구,마장동,1
양천구,목1동,1
관악구,미성동,1
종로구,부암동,1
종로구,사직동,2
종로구,삼청동,5
마포구,상암동,1
용산구,서빙고동,1
서초구,서초동,2
성북구,성북동,1
성동구,성수1가1동,1
중구,소공동,1
서초구,양재2동,1
영등포구,여의동,1
서대문구,연희동,1
구로구,오류2동,1
송파구,오륜동,2
강북구,우이동,1
종로구,"종로1,2,3,4가동",1
서대문구,천연동,1
종로구,청운효자동,4
종로구,평창동,6
마포구,합정동,1
종로구,혜화동,1
강남구,개포동,1
관악구,남현동,1
서초구,내곡동,1
강남구,대치동,1
도봉구,도봉동,11
서초구,방배동,2
도봉구,방학동,6
강남구,삼성동,24
노원구,상계동,1
강동구,상일동,1
강남구,수서동,1
금천구,시흥동,2
관악구,신림동,1
강동구,암사동,2
강남구,압구정동,4
강남구,역삼동,2
은평구,역촌동,1
서초구,우면동,1
서초구,원지동,1
관악구,인헌동,3
강남구,자곡동,3
서초구,잠원동,1
노원구,중계동,13
은평구,진관동,2
도봉구,창동,2
성동구,하왕십리동,1
성동구,행당동,1
