시군구,법정동명,sum
강남구,논현동,12
강남구,도곡동 ,1
강남구,삼성동,3
강남구,신사동,5
강남구,역삼동,6
강동구,성내동,2
강동구,천호동,1
강북구,미아동,3
강북구,번동,1
강북구,수유동,1
강서구,등촌동,2
강서구,마곡동,1
강서구,방화동,1
강서구,화곡동,1
관악구,봉천동,1
관악구,신림동,1
광진구,구의동,1
광진구,군자동,1
광진구,자양동,2
광진구,화양동,1
구로구,개봉동,1
구로구,구로동,2
구로구,신도림동,1
금천구,가산동,1
금천구,독산동,1
노원구,상계동,4
노원구,중계동,2
도봉구,방학동,1
도봉구,창동,2
동대문구,전농동,1
동작구,사당동,2
동작구,신대방동,1
마포구,동교동,5
마포구,서교동,2
마포구,성산동,1
서대문구,대신동,2
서대문구,대현동,1
서대문구,신촌동,2
서대문구,연희동,1
서대문구,창천동,2
서초구,반포동,1
서초구,서초동,2
서초구,잠원동,1
성동구,성수동1가,1
성동구,행당동,1
성북구,돈암동,1
성북구,동선동1가,3
송파구,문정동,3
송파구,신천동,1
양천구,목동,2
영등포구,여의도동,2
영등포구,영등포동,1
영등포구,영등포동4가,2
용산구,한강로3가,3
용산구,후암동,1
은평구,녹번동,1
은평구,대조동,2
은평구,진관동,1
종로구,낙원동,1
종로구,돈의동,2
종로구,명륜2가,6
종로구,신문로1가,1
종로구,신문로2가,2
중구,남대문로2가,1
중구,명동2가,1
중구,봉래동2가,1
중구,을지로6가,2
중구,장충동2가,1
중구,정동,1
중구,초동,3
중구,충무로1가,2
중구,충무로2가,2
중구,충무로4가,2
중구,충정로1가,1
중구,필동1가,1
중구,필동2가,1
중구,필동3가,1
중구,희현동2가,1
중랑구,묵동,1
중랑구,상봉동,2
