시군구,소재지,시군구코드
종로구,서울특별시 종로구 종로1길 36,11010
중구,서울특별시 중구 창경궁로 17,11020
용산구,서울특별시 용산구 녹사평대로 150,11030
성동구,서울특별시 성동구 고산자로 270,11040
광진구,서울특별시 광진구 자양로 117,11050
동대문구,서울특별시 동대문구 천호대로 145,11060
중랑구,서울특별시 중랑구 봉화산로 179,11070
성북구,서울특별시 성북구 보문로 168,11080
강북구,서울특별시 강북구 도봉로89길 13,11090
도봉구,서울특별시 도봉구 마들로 656,11100
노원구,서울특별시 노원구 노해로 437,11110
은평구,서울특별시 은평구 은평로 195,11120
서대문구,서울특별시 서대문구 연희로 248,11130
마포구,서울특별시 마포구 월드컵로 212,11140
양천구,서울특별시 양천구 목동동로 105,11150
강서구,서울특별시 강서구 화곡로 302,11160
구로구,서울특별시 구로구 가마산로 245,11170
금천구,서울특별시 금천구 시흥대로73길 70,11180
영등포구,서울특별시 영등포구 당산동3가 당산로 123,11190
동작구,서울특별시 동작구 장승배기로 161,11200
관악구,서울특별시 관악구 관악로 145,11210
서초구,서울특별시 서초구 남부순환로 2584,11220
강남구,서울특별시 강남구 학동로 426,11230
송파구,서울특별시 송파구 올림픽로 326,11240
강동구,서울특별시 강동구 성내로 25,11250
